,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
47,2024-05-05,17:30,Bundesliga,Matchweek 32,Sun,Away,W,5.0,1.0,Eint Frankfurt,2.7,1.9,45.0,58000.0,Lukáš Hrádecký,3-4-3,Christian Dingert,Match Report,,7.0,4.0,22.0,0.0,2,2,2024,Bayer Leverkusen
49,2024-05-12,19:30,Bundesliga,Matchweek 33,Sun,Away,W,5.0,0.0,Bochum,4.2,0.3,67.0,26000.0,Lukáš Hrádecký,3-4-3,Benjamin Brand,Match Report,,28.0,9.0,19.4,1.0,1,1,2024,Bayer Leverkusen
50,2024-05-18,15:30,Bundesliga,Matchweek 34,Sat,Home,W,2.0,1.0,Augsburg,2.4,1.2,65.0,30210.0,Lukáš Hrádecký,3-4-3,Matthias Jöllenbeck,Match Report,,20.0,8.0,17.3,0.0,0,0,2024,Bayer Leverkusen
1,2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,5,0,Bochum,3.0,0.8,60.0,53000.0,Waldemar Anton,4-2-3-1,Daniel Siebert,Match Report,,21.0,9.0,16.6,0.0,0,0,2024,Stuttgart
2,2023-08-25,20:30,Bundesliga,Matchweek 2,Fri,Away,L,1,5,RB Leipzig,1.1,1.8,46.0,46084.0,Waldemar Anton,4-2-3-1,Frank Willenborg,Match Report,,9.0,3.0,17.1,0.0,0,0,2024,Stuttgart
3,2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,5,0,Freiburg,1.7,1.0,48.0,54300.0,Waldemar Anton,4-2-3-1,Felix Brych,Match Report,,13.0,6.0,19.1,0.0,0,0,2024,Stuttgart
4,2023-09-16,15:30,Bundesliga,Matchweek 4,Sat,Away,W,3,1,Mainz 05,1.6,0.9,60.0,30500.0,Waldemar Anton,4-2-3-1,Harm Osmers,Match Report,,15.0,6.0,21.5,1.0,0,0,2024,Stuttgart
5,2023-09-22,20:30,Bundesliga,Matchweek 5,Fri,Home,W,3,1,Darmstadt 98,2.3,0.2,58.0,54000.0,Waldemar Anton,4-2-3-1,Matthias Jöllenbeck,Match Report,,18.0,11.0,16.3,0.0,0,0,2024,Stuttgart
6,2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,W,2,0,Köln,2.5,0.7,60.0,50000.0,Waldemar Anton,4-2-3-1,Tobias Stieler,Match Report,,18.0,4.0,16.2,0.0,0,0,2024,Stuttgart
7,2023-10-07,15:30,Bundesliga,Matchweek 7,Sat,Home,W,3,1,Wolfsburg,2.7,1.2,59.0,52000.0,Waldemar Anton,4-2-3-1,Daniel Siebert,Match Report,,13.0,7.0,20.6,0.0,1,1,2024,Stuttgart
8,2023-10-21,15:30,Bundesliga,Matchweek 8,Sat,Away,W,3,0,Union Berlin,1.4,0.6,57.0,22012.0,Waldemar Anton,4-2-3-1,Bastian Dankert,Match Report,,10.0,5.0,16.9,0.0,0,0,2024,Stuttgart
9,2023-10-28,15:30,Bundesliga,Matchweek 9,Sat,Home,L,2,3,Hoffenheim,3.6,1.7,73.0,53200.0,Waldemar Anton,4-2-3-1,Felix Zwayer,Match Report,,22.0,9.0,18.2,0.0,0,1,2024,Stuttgart
11,2023-11-05,17:30,Bundesliga,Matchweek 10,Sun,Away,L,0,2,Heidenheim,2.6,1.2,68.0,15000.0,Waldemar Anton,4-2-3-1,Florian Badstübner,Match Report,,16.0,1.0,16.4,2.0,0,1,2024,Stuttgart
12,2023-11-11,15:30,Bundesliga,Matchweek 11,Sat,Home,W,2,1,Dortmund,4.2,1.0,59.0,55000.0,Waldemar Anton,4-2-2-2,Tobias Stieler,Match Report,,20.0,8.0,14.8,0.0,1,2,2024,Stuttgart
13,2023-11-25,18:30,Bundesliga,Matchweek 12,Sat,Away,W,2,1,Eint Frankfurt,2.3,0.9,43.0,58000.0,Waldemar Anton,4-4-2,Felix Brych,Match Report,,11.0,4.0,17.3,0.0,0,0,2024,Stuttgart
14,2023-12-02,18:30,Bundesliga,Matchweek 13,Sat,Home,W,2,0,Werder Bremen,3.5,0.8,58.0,54500.0,Waldemar Anton,4-2-2-2,Bastian Dankert,Match Report,,18.0,5.0,15.6,0.0,1,1,2024,Stuttgart
16,2023-12-10,15:30,Bundesliga,Matchweek 14,Sun,Home,D,1,1,Leverkusen,2.6,1.3,52.0,54500.0,Waldemar Anton,4-2-3-1,Deniz Aytekin,Match Report,,22.0,10.0,20.1,1.0,0,0,2024,Stuttgart
17,2023-12-17,19:30,Bundesliga,Matchweek 15,Sun,Away,L,0,3,Bayern Munich,0.4,2.8,62.0,75000.0,Waldemar Anton,4-4-2,Tobias Stieler,Match Report,,6.0,2.0,17.0,0.0,0,0,2024,Stuttgart
18,2023-12-20,20:30,Bundesliga,Matchweek 16,Wed,Home,W,3,0,Augsburg,2.6,0.2,66.0,53600.0,Waldemar Anton,4-4-2,Daniel Siebert,Match Report,,17.0,8.0,17.7,0.0,0,0,2024,Stuttgart
19,2024-01-14,17:30,Bundesliga,Matchweek 17,Sun,Away,L,1,3,Gladbach,0.9,1.9,71.0,53429.0,Waldemar Anton,4-2-3-1,Harm Osmers,Match Report,,15.0,2.0,21.0,2.0,0,0,2024,Stuttgart
20,2024-01-20,15:30,Bundesliga,Matchweek 18,Sat,Away,L,0,1,Bochum,1.4,0.9,62.0,26000.0,Waldemar Anton,4-2-3-1,Bastian Dankert,Match Report,,19.0,5.0,14.2,0.0,0,0,2024,Stuttgart
21,2024-01-27,15:30,Bundesliga,Matchweek 19,Sat,Home,W,5,2,RB Leipzig,2.2,0.4,54.0,52100.0,Waldemar Anton,3-5-2,Sven Jablonski,Match Report,,17.0,8.0,19.1,0.0,1,1,2024,Stuttgart
22,2024-02-03,15:30,Bundesliga,Matchweek 20,Sat,Away,W,3,1,Freiburg,1.7,0.7,65.0,34700.0,Waldemar Anton,3-4-3,Daniel Siebert,Match Report,,17.0,9.0,17.7,0.0,0,0,2024,Stuttgart
24,2024-02-11,15:30,Bundesliga,Matchweek 21,Sun,Home,W,3,1,Mainz 05,1.9,1.4,61.0,52005.0,Waldemar Anton,4-2-3-1,Deniz Aytekin,Match Report,,11.0,7.0,14.9,0.0,0,0,2024,Stuttgart
25,2024-02-17,15:30,Bundesliga,Matchweek 22,Sat,Away,W,2,1,Darmstadt 98,1.6,1.7,43.0,17810.0,Waldemar Anton,4-2-3-1,Tobias Welz,Match Report,,14.0,4.0,17.1,0.0,0,0,2024,Stuttgart
26,2024-02-24,15:30,Bundesliga,Matchweek 23,Sat,Home,D,1,1,Köln,2.2,0.7,74.0,54500.0,Waldemar Anton,4-2-3-1,Patrick Ittrich,Match Report,,13.0,5.0,14.0,1.0,0,0,2024,Stuttgart
27,2024-03-02,18:30,Bundesliga,Matchweek 24,Sat,Away,W,3,2,Wolfsburg,1.1,0.8,58.0,25000.0,Waldemar Anton,3-4-3,Benjamin Brand,Match Report,,6.0,2.0,22.3,0.0,1,1,2024,Stuttgart
28,2024-03-08,20:30,Bundesliga,Matchweek 25,Fri,Home,W,2,0,Union Berlin,1.0,0.9,70.0,53800.0,Atakan Karazor,3-4-3,Robert Schröder,Match Report,,14.0,5.0,21.1,0.0,0,0,2024,Stuttgart
